_x_bin,_y_bin,Center_Lat,Center_Lon,Stations,n_records,CTD_Depths,Start_Times
-20488,10222,45.91492993,-130.0240168,"Axial ASHES Vent Field, Axial Base Junction Box LJ03A, Axial Base Shallow Profiler, Axial Central Caldera, Axial Seamount International District 2",13,[-9999999.0],"['2024-08-12T00:03:24.595Z', '2024-08-12T00:04:00.243Z', '2024-08-30T08:34:50.935Z', '2024-08-30T08:35:58.244Z', '2024-08-30T13:13:40.525Z', '2024-08-30T13:14:36.942Z', '2024-08-31T04:31:27.933Z', '2024-09-01T06:30:22.185Z', '2024-09-01T16:28:59.412Z']"
-20488,10223,45.91942149,-130.0240168,Axial Eastern Caldera,1,[-9999999.0],['2024-09-02T10:09:47.935Z']
-20486,10226,45.93289616,-130.0113238,Axial ASHS Vent Field,2,[-9999999.0],"['2022-08-15T18:31:27.000Z', '2023-09-05T23:46:31.000Z']"
-20486,10231,45.95535393,-130.0113238,Axial Central Caldera,5,[-9999999.0],"['2022-08-14T05:49:53.000Z', '2022-08-30T19:37:13.000Z', '2023-09-13T14:12:23.000Z']"
-20481,10225,45.9284046,-129.9795913,Axial Seamount International District 1,1,[-9999999.0],['2020-08-09T23:05:44.686Z']
-20480,10228,45.94187927,-129.9732448,Axial Eastern Caldera,2,[-9999999.0],"['2022-08-15T04:34:53.000Z', '2023-09-17T03:34:09.000Z']"
-20447,10202,45.82509881,-129.7638101,"Axial Base Deep Profiler, Axial Base Deep Profiler - 500 m SW",32,"[-9999999.0, 200.583, 300.643, 500.342, 750.2, 1001.141, 1250.79, 1750.574, 2000.807, 2250.931, 2400.683]","['2018-07-27T04:03:36.000Z', '2024-08-29 22:36:03+00:00', '2024-08-29T22:36:03.000Z']"
-20447,10204,45.83408193,-129.7638101,Axial Base Deep Profiler - 500 m N,1,[-9999999.0],['2016-07-28T20:46:51.000Z']
-20446,10202,45.82509881,-129.7574636,"Axial Base Deep Profiler, Axial Base Shallow Profiler - 900 m SSW",32,"[-9999999.0, 10.14, 30.016, 49.631, 99.667, 249.643, 499.215, 1001.272, 2001.048, 2400.427, 2600.122]","['2015-07-13T09:19:30.000Z', '2023-09-03 04:41:43+00:00', '2023-09-03T04:41:43.000Z']"
-20446,10203,45.82959037,-129.7574636,"Axial Base Deep Profiler, Axial Base Deep Profiler - 500 m N, Axial Base Shallow Profiler - 150 m W, Axial Base Shallow Profiler - 200 m W, Axial Base Shallow Profiler - 250 m W",302,"[-9999999.0, 9.947, 10.008, 10.085, 10.11, 10.191, 10.259, 10.273, 10.277, 19.826, 19.87, 19.885, 20.007, 20.034, 20.039, 20.05, 20.085, 39.778, 39.933, 39.937, 40.183, 40.209, 40.211, 40.344, 40.569, 59.731, 60.07, 60.087, 60.233, 60.28, 60.34, 60.539, 60.696, 79.762, 79.91, 79.964, 79.965, 80.053, 80.233, 80.421, 80.712, 99.341, 99.56, 99.561, 99.814, 99.834, 100.29, 100.343, 100.449, 119.662, 119.75, 119.918, 119.928, 119.985, 120.119, 120.438, 120.464, 139.841, 139.904, 139.95, 140.001, 140.172, 140.221, 140.272, 141.317, 159.738, 159.79, 159.845, 159.893, 160.033, 160.085, 160.249, 160.344, 179.365, 179.544, 179.63, 180.241, 180.31, 180.425, 180.459, 180.562, 199.44, 199.472, 199.6, 199.768, 199.891, 200.007, 200.248, 200.28, 219.307, 219.451, 219.609, 219.642, 219.741, 219.784, 219.929, 219.975, 2400.152, 2476.273]","['2015-07-08 16:56:17+00:00', '2015-07-08 18:24:34+00:00', '2015-07-08T16:56:17.000Z', '2015-07-08T18:24:34.000Z', '2015-07-13 15:25:35+00:00', '2015-07-13 17:03:53+00:00', '2015-07-13T12:15:57.000Z', '2015-07-13T13:05:34.000Z', '2015-07-13T13:44:54.000Z', '2015-07-13T14:17:53.000Z', '2015-07-13T15:25:35.000Z', '2015-07-13T17:03:53.000Z', '2015-07-28 18:49:00+00:00', '2015-07-28T18:49:00.000Z', '2017-08-23T09:37:00.000Z']"
