_x_bin,_y_bin,Center_Lat,Center_Lon,n_records,Sources,Station_Names,Source_Names,Source_Files
-409733,204457,45.91661426518146,-130.02524232789705,7,bottle,Axial Base Junction Box LJ03A; Axial Base Shallow Profiler,Axial Base Junction Box LJ03A; Axial Base Shallow Profiler,bottle_data
-409733,204460,45.9172879985627,-130.02524232789705,1,bottle,Axial Eastern Caldera,Axial Eastern Caldera,bottle_data
-409732,204457,45.91661426518146,-130.02492498611352,4,bottle,Axial Base Shallow Profiler; Axial Seamount International District 2,Axial Base Shallow Profiler; Axial Seamount International District 2,bottle_data
-409732,204459,45.917063420768955,-130.02492498611352,1,bottle,Axial Central Caldera,Axial Central Caldera,bottle_data
-409730,204458,45.91683884297521,-130.0242903025464,1,bottle,Axial ASHES Vent Field,Axial ASHES Vent Field,bottle_data
-409698,204532,45.93345759971254,-130.01413536547284,1,bottle,Axial ASHS Vent Field,Axial ASHS Vent Field,bottle_data
-409697,204533,45.93368217750629,-130.0138180236893,1,bottle,Axial ASHS Vent Field,Axial ASHS Vent Field,bottle_data
-409681,204626,45.954567912324826,-130.0087405551525,1,bottle,Axial Central Caldera,Axial Central Caldera,bottle_data
-409681,204627,45.95479249011858,-130.0087405551525,4,bottle,Axial Central Caldera,Axial Central Caldera,bottle_data
-409587,204501,45.92649568810636,-129.97891042749893,1,bottle,Axial Seamount International District 1,Axial Seamount International District 1,bottle_data
-409572,204561,45.93997035573123,-129.9741503007457,2,bottle,Axial Eastern Caldera,Axial Eastern Caldera,bottle_data
-408913,204091,45.83441879266978,-129.76502206538706,1,bottle,Axial Base Deep Profiler - 500 m N,Axial Base Deep Profiler - 500 m N,bottle_data
-408909,204055,45.82633399209486,-129.76375269825286,1,bottle,Axial Base Deep Profiler - 500 m SW,Axial Base Deep Profiler - 500 m SW,bottle_data
-408908,204055,45.82633399209486,-129.76343535646933,21,bottle,Axial Base Deep Profiler,Axial Base Deep Profiler,bottle_data
-408896,204048,45.824761947538626,-129.75962725506673,21,bottle,Axial Base Deep Profiler,Axial Base Deep Profiler,bottle_data
-408895,204069,45.82947808120733,-129.75930991328318,2,bottle,Axial Base Deep Profiler,Axial Base Deep Profiler,bottle_data
-408895,204070,45.82970265900108,-129.75930991328318,2,bottle,Axial Base Deep Profiler,Axial Base Deep Profiler,bottle_data
-408895,204092,45.83464337046353,-129.75930991328318,21,bottle,Axial Base Deep Profiler,Axial Base Deep Profiler,bottle_data
-408895,204124,45.84182985986346,-129.75930991328318,30,bottle,Axial Base Shallow Profiler - 250 m NW,Axial Base Shallow Profiler - 250 m NW,bottle_data
-408894,204070,45.82970265900108,-129.75899257149965,4,bottle,Axial Base Deep Profiler - 500 m N,Axial Base Deep Profiler - 500 m N,bottle_data
-408894,204090,45.834194214876035,-129.75899257149965,20,bottle,Axial Base Deep Profiler - 500 m N,Axial Base Deep Profiler - 500 m N,bottle_data
-408892,204091,45.83441879266978,-129.75835788793253,21,bottle,Axial Base Deep Profiler,Axial Base Deep Profiler,bottle_data
-408889,204086,45.83329590370104,-129.7574058625819,31,bottle,Axial Base Shallow Profiler - 500 m NW,Axial Base Shallow Profiler - 500 m NW,bottle_data
-408887,204040,45.82296532518865,-129.7567711790148,1,bottle,Axial Base Shallow Profiler - 900 m SSW,Axial Base Shallow Profiler - 900 m SSW,bottle_data
-408887,204073,45.83037639238232,-129.7567711790148,1,bottle,Axial Base Shallow Profiler - 250 m W,Axial Base Shallow Profiler - 250 m W,bottle_data
-408886,204073,45.83037639238232,-129.75645383723125,96,bottle,Axial Base Shallow Profiler - 250 m W,Axial Base Shallow Profiler - 250 m W,bottle_data
-408885,204073,45.83037639238232,-129.7561364954477,1,bottle,Axial Base Shallow Profiler - 200 m W,Axial Base Shallow Profiler - 200 m W,bottle_data
-408882,204073,45.83037639238232,-129.75518447009705,98,bottle,Axial Base Shallow Profiler - 150 m W,Axial Base Shallow Profiler - 150 m W,bottle_data
-408879,204013,45.81690172475746,-129.7542324447464,3,bottle,Axial Base Junction Box LJ03A,Axial Base Junction Box LJ03A,bottle_data
-408878,204012,45.816677146963706,-129.75391510296285,3,bottle,Axial Base Junction Box LJ03A,Axial Base Junction Box LJ03A,bottle_data
-408878,204013,45.81690172475746,-129.75391510296285,6,bottle,Axial Base Junction Box LJ03A,Axial Base Junction Box LJ03A,bottle_data
-408876,204073,45.83037639238232,-129.75328041939576,8,bottle,Axial Base Shallow Profiler,Axial Base Shallow Profiler,bottle_data
-408876,204074,45.83060097017607,-129.75328041939576,1,bottle,"Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E","Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E",bottle_data
-408865,204074,45.83060097017607,-129.74978965977672,34,bottle,Axial Base Shallow Profiler - 250 m E,Axial Base Shallow Profiler - 250 m E,bottle_data
-408863,204056,45.82655856988861,-129.74915497620964,29,bottle,Axial Base Shallow Profiler,Axial Base Shallow Profiler,bottle_data
-408857,204056,45.82655856988861,-129.74725092550833,25,bottle,Axial Base Shallow Profiler,Axial Base Shallow Profiler,bottle_data
-408856,204074,45.83060097017607,-129.7469335837248,20,bottle,Axial Base Shallow Profiler - 500 m E,Axial Base Shallow Profiler - 500 m E,bottle_data
-408856,204091,45.83441879266978,-129.7469335837248,29,bottle,Axial Base Shallow Profiler,Axial Base Shallow Profiler,bottle_data
-408855,204072,45.830151814588575,-129.74661624194124,65,bottle,Axial Base Shallow Profiler - 500 m E,Axial Base Shallow Profiler - 500 m E,bottle_data
-408855,204073,45.83037639238232,-129.74661624194124,21,bottle,Axial Base Shallow Profiler - 500 m E,Axial Base Shallow Profiler - 500 m E,bottle_data
-408855,204074,45.83060097017607,-129.74661624194124,1,bottle,Axial Base Shallow Profiler - 500 m E,Axial Base Shallow Profiler - 500 m E,bottle_data
-408854,204069,45.82947808120733,-129.74629890015768,38,bottle,"Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E","Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E",bottle_data
-408854,204070,45.82970265900108,-129.74629890015768,74,bottle,"Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E","Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E",bottle_data
-408854,204072,45.830151814588575,-129.74629890015768,25,bottle,Axial Base Shallow Profiler - 500 m E,Axial Base Shallow Profiler - 500 m E,bottle_data
-408853,204069,45.82947808120733,-129.74598155837413,38,bottle,Axial Base Deep Profiler - 1000 m E,Axial Base Deep Profiler - 1000 m E,bottle_data
-408851,203976,45.80859234638879,-129.74534687480704,1,bottle,"Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E","Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E",bottle_data
-408851,204016,45.8175754581387,-129.74534687480704,1,bottle,"Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E","Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E",bottle_data
-408840,204053,45.82588483650736,-129.741856115188,1,bottle,"Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E","Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E",bottle_data
-408833,204074,45.83060097017607,-129.73963472270316,52,bottle,Axial Base Deep Profiler - 1000 m E,Axial Base Deep Profiler - 1000 m E,bottle_data
-396909,197612,44.379379266978084,-125.95565129566761,30,bottle,Oregon Offshore Shallow Profiler - 250 m E,Oregon Offshore Shallow Profiler - 250 m E,bottle_data
-395186,198157,44.501774164570605,-125.40887140261307,3,bottle,Slope Base Junction Box LJ01A,Slope Base Junction Box LJ01A,bottle_data
-395185,198157,44.501774164570605,-125.40855406082953,2,bottle,Slope Base Shallow Profiler,Slope Base Shallow Profiler,bottle_data
-395157,198201,44.51165558749551,-125.39966849089016,1,bottle,Slope Base Shallow Profiler,Slope Base Shallow Profiler,bottle_data
-395147,198280,44.52939723320158,-125.39649507305468,29,bottle,Slope Base Shallow Profiler - 500 m W,Slope Base Shallow Profiler - 500 m W,bottle_data
-395144,198217,44.515248832195475,-125.39554304770402,20,bottle,Slope Base Shallow Profiler,Slope Base Shallow Profiler,bottle_data
-395144,198260,44.52490567732663,-125.39554304770402,35,bottle,Slope Base Shallow Profiler - 500 m W,Slope Base Shallow Profiler - 500 m W,bottle_data
-395144,198277,44.52872349982034,-125.39554304770402,20,bottle,Slope Base Shallow Profiler - 500 m W,Slope Base Shallow Profiler - 500 m W,bottle_data
