Start Latitude [degrees],Start Longitude [degrees],CTD Depth [m],Start Time [UTC],Count
44.35919,-124.96494,-9999999.0,2024-08-15 19:39:10.708000+00:00,1
44.35919,-124.96494,-9999999.0,2024-08-15 19:39:36.208000+00:00,2
44.35984,-124.96455,-9999999.0,2024-08-22 09:57:50.328000+00:00,1
44.35984,-124.96455,-9999999.0,2024-08-22 09:58:27.368000+00:00,2
44.3645,-124.94833333333334,10.101,2022-08-26 13:57:26+00:00,1
44.3645,-124.94833333333334,20.101,2022-08-26 13:57:26+00:00,1
44.3645,-124.94833333333334,50.199,2022-08-26 13:57:26+00:00,1
44.3645,-124.94833333333334,100.338,2022-08-26 13:57:26+00:00,1
44.3645,-124.94833333333334,150.342,2022-08-26 13:57:26+00:00,1
44.3645,-124.94833333333334,200.383,2022-08-26 13:57:26+00:00,1
44.3645,-124.94833333333334,249.923,2022-08-26 13:57:26+00:00,1
44.3645,-124.94833333333334,299.888,2022-08-26 13:57:26+00:00,1
44.3645,-124.94833333333334,400.115,2022-08-26 13:57:26+00:00,1
44.3645,-124.94833333333334,549.54,2022-08-26 13:57:26+00:00,1
44.3645,-124.94833333333334,578.256,2022-08-26 13:57:26+00:00,2
44.36667,-124.955,-9999999.0,2018-07-23 23:20:04+00:00,1
44.36667,-124.955,12.85,2018-07-23 23:20:04+00:00,1
44.36667,-124.955,22.838,2018-07-23 23:20:04+00:00,1
44.36667,-124.955,52.5,2018-07-23 23:20:04+00:00,1
44.36667,-124.955,102.545,2018-07-23 23:20:04+00:00,1
44.36667,-124.955,102.961,2018-07-23 23:20:04+00:00,1
44.36667,-124.955,152.823,2018-07-23 23:20:04+00:00,1
44.36667,-124.955,202.713,2018-07-23 23:20:04+00:00,1
44.36667,-124.955,202.775,2018-07-23 23:20:04+00:00,1
44.36667,-124.955,252.681,2018-07-23 23:20:04+00:00,1
44.36667,-124.955,302.224,2018-07-23 23:20:04+00:00,1
44.36667,-124.955,302.372,2018-07-23 23:20:04+00:00,1
44.36667,-124.955,402.72,2018-07-23 23:20:04+00:00,1
44.36667,-124.955,502.858,2018-07-23 23:20:04+00:00,1
44.36667,-124.955,502.867,2018-07-23 23:20:04+00:00,1
44.36667,-124.955,552.632,2018-07-23 23:20:04+00:00,1
44.36667,-124.955,552.934,2018-07-23 23:20:04+00:00,1
44.36667,-124.955,597.36,2018-07-23 23:20:04+00:00,1
44.36817,-124.95017,-9999999.0,2015-07-24 23:59:29+00:00,1
44.36817,-124.95017,10.21,2015-07-25 00:35:28+00:00,1
44.36817,-124.95017,20.596,2015-07-25 00:35:28+00:00,1
44.36817,-124.95017,20.731,2015-07-25 00:35:28+00:00,1
44.36817,-124.95017,39.991,2015-07-25 00:35:28+00:00,1
