_x_bin,_y_bin,Center_Lat,Center_Lon,n_records,Sources,Station_Names,Source_Names,Source_Files
-102438,51114,45.91672655407833,-130.02523531901807,12,bottle,"Axial Base Junction Box LJ03A, Axial Base Shallow Profiler, Axial Central Caldera, Axial Seamount International District 2","Axial Base Junction Box LJ03A, Axial Base Shallow Profiler, Axial Central Caldera, Axial Seamount International District 2",bottle_data
-102438,51115,45.91762486525332,-130.02523531901807,1,bottle,Axial Eastern Caldera,Axial Eastern Caldera,bottle_data
-102437,51114,45.91672655407833,-130.02396600616564,1,bottle,Axial ASHES Vent Field,Axial ASHES Vent Field,bottle_data
-102429,51133,45.933794466403164,-130.01381150334635,2,bottle,Axial ASHS Vent Field,Axial ASHS Vent Field,bottle_data
-102425,51156,45.954455623427954,-130.0087342519367,5,bottle,Axial Central Caldera,Axial Central Caldera,bottle_data
-102402,51125,45.926607977003236,-129.97954005633122,1,bottle,Axial Seamount International District 1,Axial Seamount International District 1,bottle_data
-102398,51140,45.9400826446281,-129.97446280492156,2,bottle,Axial Eastern Caldera,Axial Eastern Caldera,bottle_data
-102233,51022,45.834081925979156,-129.76502618427347,1,bottle,Axial Base Deep Profiler - 500 m N,Axial Base Deep Profiler - 500 m N,bottle_data
-102232,51013,45.82599712540424,-129.76375687142107,22,bottle,"Axial Base Deep Profiler, Axial Base Deep Profiler - 500 m SW","Axial Base Deep Profiler, Axial Base Deep Profiler - 500 m SW",bottle_data
-102229,51012,45.82509881422925,-129.75994893286384,21,bottle,Axial Base Deep Profiler,Axial Base Deep Profiler,bottle_data
-102229,51017,45.829590370104206,-129.75994893286384,2,zarr,RS03AXPD,RS03AXPD-DP03A-01-CTDPFL304-recovered_inst-dpc_ctd_instrument_recovered,"axial_base_deep_profiles_20170823_20250807_qf49_HITL, axial_base_deep_profiles_20170823_20250807_qf49_HITL_binned_24h"
-102228,51017,45.829590370104206,-129.7586796200114,8,bottle,"Axial Base Deep Profiler, Axial Base Deep Profiler - 500 m N","Axial Base Deep Profiler, Axial Base Deep Profiler - 500 m N",bottle_data
-102228,51022,45.834081925979156,-129.7586796200114,41,bottle,"Axial Base Deep Profiler, Axial Base Deep Profiler - 500 m N","Axial Base Deep Profiler, Axial Base Deep Profiler - 500 m N",bottle_data
-102228,51023,45.83498023715415,-129.7586796200114,21,bottle,Axial Base Deep Profiler,Axial Base Deep Profiler,bottle_data
-102228,51031,45.842166726554076,-129.7586796200114,30,bottle,Axial Base Shallow Profiler - 250 m NW,Axial Base Shallow Profiler - 250 m NW,bottle_data
-102227,51021,45.83318361480417,-129.757410307159,31,bottle,Axial Base Shallow Profiler - 500 m NW,Axial Base Shallow Profiler - 500 m NW,bottle_data
-102226,51010,45.823302191879264,-129.75614099430658,1,bottle,Axial Base Shallow Profiler - 900 m SSW,Axial Base Shallow Profiler - 900 m SSW,bottle_data
