file,path,date_start,date_end,longitude_min,longitude_max,latitude_min,latitude_max,n_in_realm_points,longitude_variable,latitude_variable,time_variable
osu033-20050721T1615-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20050721T1615-delayed_oxy.nc,2005-07-21T18:27:54.000002816+00:00,2005-07-22T12:32:53.000000419+00:00,-124.40298937608618,-124.21107716458046,44.61682514247569,44.67967520294435,18230,lon,lat,time
osu033-20050816T1611-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20050816T1611-delayed_oxy.nc,2005-08-16T16:12:06.999996231+00:00,2005-08-19T14:48:07.999999519+00:00,-124.50553927616691,-124.08923,44.61439710903845,44.68522566657795,102214,lon,lat,time
osu033-20060405T1604-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20060405T1604-delayed_oxy.nc,2006-04-05T16:10:44.000003855+00:00,2006-04-26T15:58:45.999995689+00:00,-125.11353029635416,-124.09510659452026,44.56076666666666,44.74134666666667,77672,lon,lat,time
osu033-20060519T1617-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20060519T1617-delayed_oxy.nc,2006-05-19T18:18:47.999997135+00:00,2006-05-21T23:24:33.000000048+00:00,-124.80019666666668,-124.12708666666668,44.559516235673314,44.663930756679065,39516,lon,lat,time
osu033-20060623T1548-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20060623T1548-delayed_oxy.nc,2006-06-23T15:48:59.999995751+00:00,2006-06-28T20:31:54.999996502+00:00,-125.12775971429751,-124.09326666666666,44.5931358606506,44.75081283628796,99461,lon,lat,time
osu033-20060712T1702-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20060712T1702-delayed_oxy.nc,2006-07-12T17:03:28.000001681+00:00,2006-08-02T15:04:08.999997231+00:00,-125.11192701157944,-124.08992166666668,44.589434988427406,44.75262350975028,386564,lon,lat,time
osu033-20060802T1916-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20060802T1916-delayed_oxy.nc,2006-08-02T19:17:17.000004572+00:00,2006-08-18T20:47:03.000000048+00:00,-125.12468376198109,-124.09647642320664,44.55554845637771,44.725567337913446,305958,lon,lat,time
osu033-20060914T1557-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20060914T1557-delayed_oxy.nc,2006-09-14T15:58:41.999997270+00:00,2006-10-02T15:10:36.000000310+00:00,-125.11824045703875,-124.09288166666664,44.584274046618894,44.7454092017502,299111,lon,lat,time
osu033-20061002T1943-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20061002T1943-delayed_oxy.nc,2006-10-02T19:45:06.000004336+00:00,2006-10-13T16:01:54.000001925+00:00,-125.18712903454961,-124.09144990016233,44.565440201623495,44.811105556210414,178231,lon,lat,time
osu033-20061027T1709-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20061027T1709-delayed_oxy.nc,2006-10-27T17:10:47.000004349+00:00,2006-10-29T22:27:16.000004410+00:00,-124.78804333333333,-124.10081,44.59465167788676,44.65405382710714,31243,lon,lat,time
