Cruise,Station,Target Asset,Start Latitude [degrees],Start Longitude [degrees],Start Time [UTC],Cast,Cast Flag,Bottom Depth at Start Position [m],CTD File,CTD File Flag,Niskin/Bottle Position,Niskin Flag,CTD Bottle Closure Time [UTC],CTD Pressure [db],CTD Pressure Flag,CTD Depth [m],CTD Latitude [deg],CTD Longitude [deg],CTD Temperature 1 [deg C],CTD Temperature 1 Flag,CTD Temperature 2 [deg C],CTD Temperature 2 Flag,CTD Conductivity 1 [S/m],CTD Conductivity 1 Flag,CTD Conductivity 2 [S/m],CTD Conductivity 2 Flag,CTD Salinity 1 [psu],CTD Salinity 2 [psu],CTD Oxygen [mL/L],CTD Oxygen Flag,CTD Oxygen Saturation [mL/L],CTD Fluorescence [mg/m^3],CTD Fluorescence Flag,CTD Beam Attenuation [1/m],CTD Beam Transmission [%],CTD Transmissometer Flag,CTD pH,CTD pH Flag,Discrete Oxygen [mL/L],Discrete Oxygen Flag,Discrete Oxygen Replicate Flag,Discrete Chlorophyll [ug/L],Discrete Phaeopigment [ug/L],Discrete Fo/Fa Ratio,Discrete Fluorescence Flag,Discrete Fluorescence Replicate Flag,Discrete Phosphate [uM],Discrete Silicate [uM],Discrete Nitrate [uM],Discrete Nitrite [uM],Discrete Ammonium [uM],Discrete Nutrients Flag,Discrete Nutrients Replicate Flag,Discrete Salinity [psu],Discrete Salinity Flag,Discrete Salinity Replicate Flag,Discrete Alkalinity [umol/kg],Discrete Alkalinity Flag,Discrete Alkalinity Replicate Flag,Discrete DIC [umol/kg],Discrete DIC Flag,Discrete DIC Replicate Flag,Discrete pCO2 [uatm],pCO2 Analysis Temp [deg C],Discrete pCO2 Flag,Discrete pCO2 Replicate Flag,Discrete pH [Total scale],pH Analysis Temp [deg C],Discrete pH Flag,Discrete pH Replicate Flag,Calculated Alkalinity [umol/kg],Calculated DIC [umol/kg],Calculated pCO2 [uatm],Calculated pH,Calculated CO2aq [umol/kg],Calculated Bicarb [umol/kg],Calculated CO3 [umol/kg],Calculated Omega-C,Calculated Omega-A
AT50-29,Axial ASHES Vent Field,CTDPFB304,45.91691,-130.02421,2024-08-31T04:31:27.933Z,J2-1650,*0010000000000000,1544,AT50-29_J2-1650,*0000000000000100,Forward Starboard,*0000000000000100,2024-08-31T04:32:27.933Z,1559.116725,*0000000000000100,-9999999,-9999999,-9999999,2.4848425,*0000000000000100,-9999999,-9999999,3.14561625,*0000000010000100,-9999999,-9999999,34.469025,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,34.52170494,-9999999,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT50-29,Axial Base Deep Profiler,RS03AXPD,45.82633,-129.76333,2024-08-29T22:36:03.000Z,CTD-007,*0000000000000100,2581,AT50-29_CTD-007,*0000000000000100,23,*0000000000000100,2024-08-30T00:59:10.000Z,202.339,*0000000001000100,200.583,45.82639,-129.76327,7.0031,*0000000001000100,7.0071,*0000000001000100,3.430907,*0000000011000100,3.431242,*0000000011000100,33.8243,33.8241,3.1438,*0000000011000100,6.803,0.0266,*0000000011000100,0.0342,99.1494,*0000000000000100,-9999999,*0000000001000100,3.119102807,-9999999,*0000000000000100,0.003357289,0.022158105,1.1,*0000000010000000,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,33.82903197,-9999999,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT50-29,Axial Base Deep Profiler,RS03AXPD,45.82633,-129.76333,2024-08-29T22:36:03.000Z,CTD-007,*0000000000000100,2581,AT50-29_CTD-007,*0000000000000100,21,*0000000000000100,2024-08-30T00:53:39.000Z,303.349,*0000000001000100,300.643,45.82638,-129.76328,5.9323,*0000000001000100,5.9362,*0000000001000100,3.347305,*0000000001000100,3.347608,*0000000001000100,33.9073,33.9068,2.0942,*0000000011000100,6.97009,0.0318,*0000000001000100,0.0261,99.3512,*0000000000000100,-9999999,*0000000001000100,1.908903545,-9999999,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT50-29,Axial Base Deep Profiler,RS03AXPD,45.82633,-129.76333,2024-08-29T22:36:03.000Z,CTD-007,*0000000000000100,2581,AT50-29_CTD-007,*0000000000000100,19,*0000000000000100,2024-08-30T00:46:37.000Z,505.091,*0000000001000100,500.342,45.82638,-129.76328,4.4837,*0000000001000100,4.4866,*0000000001000100,3.238746,*0000000001000100,3.238972,*0000000001000100,34.029,34.0287,0.9743,*0000000011000100,7.20776,0.0339,*0000000011000100,0.016,99.5995,*0000000000000100,-9999999,*0000000001000100,0.629862242,-9999999,*0000000000000100,0.002685831,0.010071866,1.16,-9999999,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT50-29,Axial Base Deep Profiler,RS03AXPD,45.82633,-129.76333,2024-08-29T22:36:03.000Z,CTD-007,*0000000000000100,2581,AT50-29_CTD-007,*0000000000000100,17,*0000000000000100,2024-08-30T00:38:24.000Z,757.78,*0000000001000100,750.2,45.82642,-129.76326,4.0002,*0000000001000100,4,*0000000001000100,3.225576,*0000000011000100,3.225516,*0000000011000100,34.2441,34.2436,0.2699,*0000000011000100,7.28176,0.0465,*0000000011000100,0.0139,99.6524,*0000000000000100,-9999999,*0000000001000100,-0.187102804,-9999999,*0000000000000100,0.003357289,0.003787022,1.357142857,-9999999,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,34.24833192,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT50-29,Axial Base Deep Profiler,RS03AXPD,45.82633,-129.76333,2024-08-29T22:36:03.000Z,CTD-007,*0000000000000100,2581,AT50-29_CTD-007,*0000000000000100,15,*0000000000000100,2024-08-30T00:30:17.000Z,1011.871,*0000000001000100,1001.141,45.8264,-129.76328,3.437,*0000000001000100,3.4376,*0000000001000100,3.198801,*0000000001000100,3.198787,*0000000001000100,34.3838,34.383,0.2462,*0000000011000100,7.37533,0.0461,*0000000011000100,0.0131,99.6724,*0000000000000100,-9999999,*0000000001000100,0.02562405,-9999999,*0000000000000100,0.002014373,0.007681477,1.157894737,-9999999,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT50-29,Axial Base Deep Profiler,RS03AXPD,45.82633,-129.76333,2024-08-29T22:36:03.000Z,CTD-007,*0000000000000100,2581,AT50-29_CTD-007,*0000000000000100,13,*0000000000000100,2024-08-30T00:20:09.000Z,1264.956,*0000000001000100,1250.79,45.82638,-129.76327,2.8893,*0000000001000100,2.8894,*0000000001000100,3.168164,*0000000011000100,3.168114,*0000000011000100,34.4632,34.4625,0.4133,*0000000011000100,7.47133,0.0349,*0000000011000100,0.0119,99.7039,*0000000000000100,-9999999,*0000000001000100,-0.051887029,-9999999,*0000000000000100,0.002014373,0.006150553,1.1875,-9999999,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,34.46908385,-9999999,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT50-29,Axial Base Deep Profiler,RS03AXPD,45.82633,-129.76333,2024-08-29T22:36:03.000Z,CTD-007,*0000000000000100,2581,AT50-29_CTD-007,*0000000000000100,9,*0000000000000100,2024-08-30T00:02:21.000Z,1772.527,*0000000001000100,1750.574,45.8264,-129.76326,2.1212,*0000000001000100,2.1212,*0000000001000100,3.130259,*0000000001000100,3.130173,*0000000001000100,34.5611,34.56,1.0883,*0000000011000100,7.61046,0.0327,*0000000001000100,0.0107,99.7319,*0000000000000100,-9999999,*0000000001000100,0.73976407,-9999999,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT50-29,Axial Base Deep Profiler,RS03AXPD,45.82633,-129.76333,2024-08-29T22:36:03.000Z,CTD-007,*0000000000000100,2581,AT50-29_CTD-007,*0000000000000100,7,*0000000000000100,2024-08-29T23:54:14.000Z,2027.109,*0000000001000100,2000.807,45.82638,-129.76328,1.9648,*0000000001000100,1.9649,*0000000001000100,3.129182,*0000000011000100,3.129081,*0000000011000100,34.5885,34.5872,1.3665,*0000000011000100,7.63897,0.0216,*0000000011000100,0.011,99.7253,*0000000000000100,-9999999,*0000000001000100,1.104576399,-9999999,*0000000000000100,0.002685831,0.004458479,1.285714286,-9999999,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,34.59280288,-9999999,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT50-29,Axial Base Deep Profiler,RS03AXPD,45.82633,-129.76333,2024-08-29T22:36:03.000Z,CTD-007,*0000000000000100,2581,AT50-29_CTD-007,*0000000000000100,5,*0000000000000100,2024-08-29T23:45:58.000Z,2281.88,*0000000001000100,2250.931,45.82638,-129.76324,1.882,*0000000001000100,1.8822,*0000000001000100,3.133384,*0000000001000100,3.133287,*0000000001000100,34.6044,34.6029,1.5542,*0000000011000100,7.65408,0.0254,*0000000001000100,0.0105,99.7368,*0000000000000100,-9999999,*0000000001000100,1.326341921,-9999999,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
