_x_bin,_y_bin,Center_Lat,Center_Lon,n_records,Sources,Station_Names,Source_Names,Source_Files
-20488,10222,45.91492993172835,-130.02523531901807,13,bottle,"Axial ASHES Vent Field, Axial Base Junction Box LJ03A, Axial Base Shallow Profiler, Axial Central Caldera, Axial Seamount International District 2","Axial ASHES Vent Field, Axial Base Junction Box LJ03A, Axial Base Shallow Profiler, Axial Central Caldera, Axial Seamount International District 2",bottle_data
-20488,10223,45.91942148760331,-130.02523531901807,1,bottle,Axial Eastern Caldera,Axial Eastern Caldera,bottle_data
-20486,10226,45.93289615522817,-130.01254219049395,2,bottle,Axial ASHS Vent Field,Axial ASHS Vent Field,bottle_data
-20485,10231,45.95535393460295,-130.00619562623186,5,bottle,Axial Central Caldera,Axial Central Caldera,bottle_data
-20481,10225,45.928404599353215,-129.98080936918362,1,bottle,Axial Seamount International District 1,Axial Seamount International District 1,bottle_data
-20480,10228,45.941879266978084,-129.97446280492156,2,bottle,Axial Eastern Caldera,Axial Eastern Caldera,bottle_data
-20447,10202,45.82509881422925,-129.76502618427347,22,bottle,"Axial Base Deep Profiler, Axial Base Deep Profiler - 500 m SW, bottle","Axial Base Deep Profiler, Axial Base Deep Profiler - 500 m SW, bottle",bottle_data
-20447,10204,45.834081925979156,-129.76502618427347,1,bottle,Axial Base Deep Profiler - 500 m N,Axial Base Deep Profiler - 500 m N,bottle_data
-20446,10202,45.82509881422925,-129.7586796200114,22,bottle,"Axial Base Deep Profiler, Axial Base Shallow Profiler - 900 m SSW, bottle","Axial Base Deep Profiler, Axial Base Shallow Profiler - 900 m SSW, bottle",bottle_data
-20446,10203,45.829590370104206,-129.7586796200114,108,"bottle, zarr","Axial Base Deep Profiler, Axial Base Deep Profiler - 500 m N, Axial Base Shallow Profiler - 200 m W, Axial Base Shallow Profiler - 250 m W, RS03AXPD, bottle","Axial Base Deep Profiler, Axial Base Deep Profiler - 500 m N, Axial Base Shallow Profiler - 200 m W, Axial Base Shallow Profiler - 250 m W, RS03AXPD-DP03A-01-CTDPFL304-recovered_inst-dpc_ctd_instrument_recovered, bottle","axial_base_deep_profiles_20170823_20250807_qf49_HITL, axial_base_deep_profiles_20170823_20250807_qf49_HITL_binned_24h, bottle_data"
-20446,10204,45.834081925979156,-129.7586796200114,93,bottle,"Axial Base Deep Profiler, Axial Base Deep Profiler - 500 m N, Axial Base Shallow Profiler - 500 m NW, bottle","Axial Base Deep Profiler, Axial Base Deep Profiler - 500 m N, Axial Base Shallow Profiler - 500 m NW, bottle",bottle_data
-20446,10206,45.84306503772907,-129.7586796200114,30,bottle,"Axial Base Shallow Profiler - 250 m NW, bottle","Axial Base Shallow Profiler - 250 m NW, bottle",bottle_data
-20445,10200,45.81611570247934,-129.75233305574935,13,"bottle, zarr","Axial Base Junction Box LJ03A, RS03AXBS","Axial Base Junction Box LJ03A, RS03AXBS-LJ03A-12-CTDPFB301-streamed-ctdpf_optode_sample","axial_base_seafloor_fixed_20150101_20260803_1h_qf49_HITL_phadv, bottle_data"
-20445,10203,45.829590370104206,-129.75233305574935,144,"bottle, zarr","Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E, Axial Base Shallow Profiler, Axial Base Shallow Profiler - 150 m W, Axial Base Shallow Profiler - 250 m E, RS03AXPS, bottle","Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E, Axial Base Shallow Profiler, Axial Base Shallow Profiler - 150 m W, Axial Base Shallow Profiler - 250 m E, RS03AXPS-PC03A-4A-CTDPFA303-streamed-ctdpf_optode_sample, RS03AXPS-SF03A-2A-CTDPFA302-streamed-ctdpf_sbe43_sample, bottle","axial_base_fixed_20150101_20260708_1h_qf49_HITL, axial_base_profiles_20150107_20260604_qf49_HITL, axial_base_profiles_20150107_20260604_qf49_HITL_binned_24h, bottle_data"
-20444,10198,45.80713259072943,-129.7459864914873,1,bottle,"Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E","Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E",bottle_data
-20444,10200,45.81611570247934,-129.7459864914873,1,bottle,"Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E","Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E",bottle_data
-20444,10202,45.82509881422925,-129.7459864914873,54,bottle,"Axial Base Shallow Profiler, bottle","Axial Base Shallow Profiler, bottle",bottle_data
-20444,10203,45.829590370104206,-129.7459864914873,282,bottle,"Axial Base Deep Profiler - 1000 m E, Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E, Axial Base Shallow Profiler - 500 m E, bottle","Axial Base Deep Profiler - 1000 m E, Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E, Axial Base Shallow Profiler - 500 m E, bottle",bottle_data
-20444,10204,45.834081925979156,-129.7459864914873,29,bottle,"Axial Base Shallow Profiler, bottle","Axial Base Shallow Profiler, bottle",bottle_data
-20443,10202,45.82509881422925,-129.73963992722523,1,bottle,"Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E","Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E",bottle_data
-20443,10203,45.829590370104206,-129.73963992722523,52,bottle,"Axial Base Deep Profiler - 1000 m E, bottle","Axial Base Deep Profiler - 1000 m E, bottle",bottle_data
-19847,9880,44.37881782249371,-125.9570876270356,30,bottle,"Oregon Offshore Shallow Profiler - 250 m E, bottle","Oregon Offshore Shallow Profiler - 250 m E, bottle",bottle_data
-19761,9907,44.5000898311175,-125.41128310049818,5,bottle,"Slope Base Junction Box LJ01A, Slope Base Shallow Profiler","Slope Base Junction Box LJ01A, Slope Base Shallow Profiler",bottle_data
-19759,9910,44.51356449874236,-125.39858997197405,21,bottle,"Slope Base Shallow Profiler, bottle","Slope Base Shallow Profiler, bottle",bottle_data
-19759,9913,44.52703916636723,-125.39858997197405,55,bottle,"Slope Base Shallow Profiler - 500 m W, bottle","Slope Base Shallow Profiler - 500 m W, bottle",bottle_data
-19759,9914,44.53153072224219,-125.39858997197405,29,bottle,"Slope Base Shallow Profiler - 500 m W, bottle","Slope Base Shallow Profiler - 500 m W, bottle",bottle_data
-19758,9909,44.50907294286741,-125.39224340771199,39,bottle,"Slope Base Junction Box LJ01A - 500 m S, bottle","Slope Base Junction Box LJ01A - 500 m S, bottle",bottle_data
-19758,9910,44.51356449874236,-125.39224340771199,17,"bottle, zarr","RS01SLBS, Slope Base Junction Box LJ01A, Slope Base Junction Box LJ01A - 250 m SW","RS01SLBS-LJ01A-12-CTDPFB101-streamed-ctdpf_optode_sample, Slope Base Junction Box LJ01A, Slope Base Junction Box LJ01A - 250 m SW","bottle_data, slope_base_seafloor_fixed_20150101_20260803_1h_qf49_HITL_phadv"
-19758,9912,44.522547610492275,-125.39224340771199,2,bottle,Slope Base Junction Box LJ01A - 250 m SW,Slope Base Junction Box LJ01A - 250 m SW,bottle_data
-19758,9913,44.52703916636723,-125.39224340771199,248,"bottle, zarr","RS01SBPS, Slope Base Shallow Profiler, Slope Base Shallow Profiler - 200 m W, Slope Base Shallow Profiler - 250 m W, Slope Base Shallow Profiler - 500 m SW, bottle","RS01SBPS-PC01A-4A-CTDPFA103-streamed-ctdpf_optode_sample, RS01SBPS-SF01A-2A-CTDPFA102-streamed-ctdpf_sbe43_sample, Slope Base Shallow Profiler, Slope Base Shallow Profiler - 200 m W, Slope Base Shallow Profiler - 250 m W, Slope Base Shallow Profiler - 500 m SW, bottle","bottle_data, slope_base_fixed_20150101_20260708_1h_qf49_HITL, slope_base_profiles_20150709_20260604_qf49_HITL, slope_base_profiles_20150709_20260604_qf49_HITL_binned_24h"
-19758,9914,44.53153072224219,-125.39224340771199,59,bottle,"Slope Base Shallow Profiler, Slope Base Shallow Profiler - 100 m W, Slope Base Shallow Profiler - 250 m W, bottle","Slope Base Shallow Profiler, Slope Base Shallow Profiler - 100 m W, Slope Base Shallow Profiler - 250 m W, bottle",bottle_data
-19757,9910,44.51356449874236,-125.38589684344993,30,bottle,"Slope Base Junction Box LV01A - 100 m SE, bottle","Slope Base Junction Box LV01A - 100 m SE, bottle",bottle_data
